id,player,team,pos,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_fum_rec,dst_fum_rec_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,pts_bracket,pts_bracket_sd,injury_status
2565045,Justin Herbert,LAC,QB,291.3892,33.7057,1.7152,0.4905,1.1543,0.5876,18.021,2.1809,0.1808,0.0311,0.0501,0.0141,0.19,0,,,,,,,,,,,,,,,,,,,,,,,
2555260,Dak Prescott,DAL,QB,257.5158,75.1529,2.2535,1.23,0.5999,0.2619,14.4683,4.4769,0.1394,0.0592,0.2494,0.1822,0.26,0,,,,,,,,,,,,,,,,,,,,,,,
2543801,Jimmy Garoppolo,SF,QB,261.6021,42.9451,1.2496,0.1927,1.1676,0.572,5.7198,2.8914,0.0724,0.0244,0.1375,0.0627,0.09,0,,,,,,,,,,,,,,,,,,,,,,,
2532820,Kirk Cousins,MIN,QB,272.4895,38.0275,1.5396,0.4869,0.7854,0.2043,11.6903,4.737,0.0822,0.0277,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,
2560955,Josh Allen,BUF,QB,278.8386,27.2391,2.2827,0.5057,0.674,0.1706,48.8156,11.245,0.5455,0.1174,0.1875,0.0125,0.06,0,,,,,,,,,,,,,,,,,,,,,,,
2506363,Aaron Rodgers,GB,QB,213.5501,96.9928,2.1194,0.9771,0.2667,0.1598,4.9429,4.1395,0.0905,0.091,0.0542,0.0113,,,,,,,,,,,,,,,,,,,,,,,,,
2504211,Tom Brady,TB,QB,272.2238,33.9506,1.9033,0.6532,0.4906,0.1937,6.1572,3.472,0.1833,0.1146,0.0875,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,
2543499,Derek Carr,LVR,QB,261.0028,44.8056,1.4491,0.3233,0.7781,0.1529,7.0734,1.5295,0.0701,0.0242,0.4752,0.3948,0.03,0,,,,,,,,,,,,,,,,,,,,,,,
264,Josh Johnson,BAL,QB,166.5723,199.4041,1.0741,1.3435,0.5614,0.6364,7.076,4.2426,0,0,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,
79860,Matthew Stafford,LAR,QB,254.261,40.7256,1.6807,0.4671,1.4985,1.0465,5.6868,2.5948,0.0591,0.0357,0.1458,0.0544,0.16,0,,,,,,,,,,,,,,,,,,,,,,,
