id,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,pos_chr
2560955,Josh Allen,QB,BUF,26.5,1.66,0.717,24.2,28.6,7.59,6.67,8.3,6,7,8,1,1,1.02,0.15,4.37,,QB
2560757,Lamar Jackson,QB,BAL,25.8,3.51,3.13,22.4,31.4,6.87,4.82,11.1,10,19,1,2,2,2.02,0.26,7.06,,QB
2558125,Patrick Mahomes,QB,KC,22.7,1.01,0.524,21,23.7,3.74,3.41,3.38,35,34,52,3,2,,,4.24,,QB
79860,Matthew Stafford,QB,LAR,22.2,1.79,0.952,19.6,24.5,3.21,2.04,4.18,40,50,42,4,3,,,5.3,,QB
2555260,Dak Prescott,QB,DAL,21.2,1.31,0.148,19.1,23,2.26,1.53,2.69,55,55,54,5,3,,,4.66,,QB
2564832,Jalen Hurts,QB,PHI,21.1,0.927,0.608,20.3,22.6,2.11,2.73,2.3,57,43,56,6,4,,,4.13,,QB
2565045,Justin Herbert,QB,LAC,20.5,0.785,1.16,19.2,21.3,1.5,1.63,1.02,61,54,70,7,5,,,3.94,,QB
2557898,Cooper Kupp,WR,LAR,19.4,1.01,1.88,17.9,20.7,9.8,9.87,9.59,1,1,2,1,1,1,0,2.46,,WR
2532820,Kirk Cousins,QB,MIN,19.3,1.07,0.119,17.6,20.3,0.341,0.0651,0,80,83,85,8,5,,,4.32,,QB
2558019,Alvin Kamara,RB,NO,19.3,0.939,1.22,18,20.6,9.71,9.42,8.34,2,2,6,1,1,2.29,0.81,2.84,,RB
2563722,Joe Burrow,QB,CIN,19.2,0.266,0.222,18.7,19.4,0.222,1.15,-0.921,83,59,102,9,5,,,3.23,,QB
2532956,Ryan Tannehill,QB,TEN,19,1.54,0.0692,16.2,20.1,0,-1.32,-0.141,85,114,86,10,5,,,4.96,,QB
2543499,Derek Carr,QB,LVR,18.9,0.877,0.255,17.6,19.9,-0.0692,0,-0.363,86,85,87,11,5,,,4.06,,QB
2562299,Daniel Jones,QB,NYG,18.6,1.9,0.197,15.6,20.9,-0.324,-1.99,0.577,91,127,73,12,5,,,5.45,,QB
2555259,Carson Wentz,QB,IND,18.4,0.72,1.39,17.3,19.2,-0.522,-0.279,-1.07,98,88,104,13,6,,,3.85,,QB
2559169,Austin Ekeler,RB,LAC,18.1,0.699,0.057,17.2,19.1,8.49,8.68,6.85,3,3,18,2,1,3.6,1.32,2.71,,RB
2566448,Najee Harris,RB,PIT,18,1.19,0.848,15.9,19.1,8.43,7.34,6.81,4,4,20,3,1,5.31,1.19,3.38,,RB
2556214,Tyreek Hill,WR,KC,17.5,1.86,1.29,15.2,20,7.92,7.18,8.91,5,5,3,2,2,2.13,0.4,4.17,,WR
2564148,Jonathan Taylor,RB,IND,17.2,2.9,0.404,12.1,19.8,7.59,3.51,7.56,7,33,12,4,2,1.16,0.36,5.54,,RB
2562382,Kyler Murray,QB,ARI,17,4.4,0.497,12.7,20.6,-1.92,-4.88,0.285,144,215,81,14,6,,,8.86,O,QB
2557991,Dalvin Cook,RB,MIN,16.8,1.68,0.476,14.8,18.3,7.18,6.27,6.04,9,10,25,5,2,4.16,1.01,4.03,,RB
2555261,Jacoby Brissett,QB,MIA,16.5,1.58,0.0266,13.9,17.4,-2.41,-3.66,-2.88,156,173,165,15,6,,,5.01,,QB
2495240,Tyrod Taylor,QB,HOU,16.5,1.46,0.154,15.1,18,-2.44,-2.46,-2.29,157,141,141,16,6,,,4.85,,QB
2564007,Jordan Love,QB,GB,16.4,1.96,0.42,13.9,18.8,-2.59,-3.61,-1.53,159,170,120,17,6,,,5.54,,QB
2558116,Aaron Jones,RB,GB,16.3,2.46,0.429,13.7,20.5,6.71,5.19,8.2,12,14,9,6,2,5.71,1.47,5.4,,RB
2543495,Davante Adams,WR,GB,16.2,1.59,0.164,13.7,18,6.63,5.72,6.88,13,12,17,3,2,6.93,2.13,4.36,,WR
2565941,Ja'Marr Chase,WR,CIN,16,1.4,0.178,14.6,18,6.47,6.55,6.85,14,8,19,4,2,3.73,0.85,3.51,,WR
2543465,Teddy Bridgewater,QB,DEN,15.9,1.24,0.374,13.9,16.8,-3.01,-3.62,-3.46,167,171,179,18,7,,,4.56,,QB
2555224,Ezekiel Elliott,RB,DAL,15.9,1.39,0.384,13.5,17.4,6.28,4.98,5.12,16,17,31,7,3,6.58,1.16,3.67,,RB
2552608,Stefon Diggs,WR,BUF,15.9,1.31,0.441,14.5,17.6,6.29,6.48,6.51,15,9,21,5,2,3.62,0.88,3.36,,WR
2560800,Baker Mayfield,QB,CLE,15.6,2.15,0.0927,12.6,18.1,-3.39,-4.97,-2.17,179,224,135,19,7,,,5.8,,QB
2506109,Ben Roethlisberger,QB,PIT,15.5,2.05,0.218,13.2,18.5,-3.48,-4.33,-1.83,184,198,128,20,7,,,5.66,,QB
2561021,Nick Chubb,RB,CLE,15.5,2.23,0.0157,12.3,18.6,5.89,3.7,6.38,17,30,22,8,3,9.24,0.87,4.78,,RB
2557997,Christian McCaffrey,RB,CAR,15.5,1.27,0.225,14,17.4,5.88,5.45,5.1,18,13,32,9,3,17.1,11.6,8.26,,RB
2563848,CeeDee Lamb,WR,DAL,15.4,2.69,0.177,13.1,19.5,5.85,5.09,8.34,19,15,7,6,2,8.62,1.83,6.25,,WR
310,Matt Ryan,QB,ATL,15.3,1.92,0.333,12.6,17.7,-3.7,-4.91,-2.55,188,218,154,21,7,,,5.48,,QB
2562574,Darrell Henderson,RB,LAR,15.3,1.47,1.05,13.1,17.4,5.65,4.53,5.1,22,22,33,10,4,7.8,0.86,3.65,,RB
2564556,Justin Jefferson,WR,MIN,15.2,2.72,0.12,12.8,18.5,5.67,4.8,7.33,21,20,14,7,3,6.47,1.07,6.01,,WR
2562238,A.J. Brown,WR,TEN,15.1,2.6,0.02,12.8,19,5.55,4.77,7.91,23,21,11,8,3,5.64,0.9,5.72,,WR
2562674,Diontae Johnson,WR,PIT,15.1,2.3,0.0396,13.1,18.6,5.53,5.06,7.47,24,16,13,9,3,9.09,1.09,5.26,,WR
2562721,Deebo Samuel,WR,SF,15.1,1.12,0.305,14.1,17,5.49,6.05,5.85,25,11,26,10,3,10.1,3.47,4.03,,WR
2566334,Mac Jones,QB,NE,14.9,1.26,0.0204,13.8,16.5,-4.03,-3.74,-3.82,199,179,187,22,7,,,4.59,,QB
2561036,Sam Darnold,QB,CAR,14.9,1.17,0.216,14.1,17,-4.05,-3.46,-3.24,200,165,175,23,7,,,4.46,,QB
2562379,Marquise Brown,WR,BAL,14.8,2.28,0.387,12.4,18.2,5.19,4.36,7.05,26,24,15,11,3,13.6,1.92,5.55,,WR
2566163,Trevor Lawrence,QB,JAC,14.7,1.24,0.148,13.4,16.4,-4.27,-4.16,-3.84,205,193,189,24,8,,,4.55,,QB
2540258,Travis Kelce,TE,KC,14.7,1.65,0.752,12.7,16.9,7.5,6.79,8.48,8,6,4,1,1,1,0,4.24,,TE
2543801,Jimmy Garoppolo,QB,SF,14.5,1.08,0.311,13.4,15.9,-4.42,-4.12,-4.38,210,191,201,25,8,,,4.34,,QB
2564136,Michael Pittman,WR,IND,14.4,2.08,0.202,11.6,16.9,4.8,3.56,5.8,27,31,27,12,3,14.1,1.69,5.09,,WR
2560929,Mike White,QB,NYJ,14.2,2.42,0.216,12.2,17.5,-4.73,-5.34,-2.74,221,244,159,26,8,,,6.16,,QB
2557976,Joe Mixon,RB,CIN,14.2,1.11,0.763,12.9,16,4.6,4.37,3.73,28,23,48,11,4,9.73,0.71,3.04,,RB
2558846,Mike Williams,WR,LAC,14.2,2.26,0.114,11.5,17.2,4.6,3.51,6.06,29,32,24,13,3,15.4,2.49,5.72,,WR
2541785,Adam Thielen,WR,MIN,14.1,2.49,0.34,11.4,17.2,4.48,3.32,6.06,30,35,23,14,4,15.5,2.29,6.08,,WR
2565920,Justin Fields,QB,CHI,14,0.806,0.139,13.2,15.2,-4.94,-4.4,-5.07,229,203,215,27,8,,,3.96,,QB
2553457,Trevor Siemian,QB,NO,13.9,2.52,3.69,11.7,17.5,-5.08,-5.85,-2.75,233,255,161,28,9,,,6.3,,QB
2552408,Darren Waller,TE,LVR,13.9,2.45,0.915,10.7,16.8,6.75,4.83,8.4,11,18,5,2,1,2.18,0.57,5.73,,TE
2552487,Amari Cooper,WR,DAL,13.7,1.44,0.343,12,15.3,4.14,3.96,4.17,32,28,43,15,4,15.6,1.83,3.98,,WR
2562377,Josh Jacobs,RB,LVR,13.4,2.23,0.273,11.5,16.6,3.84,2.92,4.38,33,40,41,12,5,14.9,2.6,5.57,,RB
2560813,D.J. Moore,WR,CAR,13.4,1.53,0.111,11.9,15.9,3.8,3.84,4.8,34,29,37,16,4,12.8,2.71,4.48,,WR
2540169,Robert Woods,WR,LAR,13.3,1.33,0.0677,12.2,15.5,3.69,4.15,4.39,36,25,40,17,4,17.9,2.14,3.9,,WR
2555223,Devontae Booker,RB,NYG,13.2,2.57,0.677,11.5,17.2,3.57,2.93,4.91,38,39,36,13,5,16.5,1.51,5.58,,RB
2540145,Cordarrelle Patterson,WR,ATL,13.2,2.01,0.13,11.1,15.6,3.62,3.03,4.47,37,37,39,18,4,13.7,5.28,6.39,,WR
2540145,Cordarrelle Patterson,WR,ATL,13.2,2.01,0.13,11.1,15.6,3.62,3.03,4.47,37,37,39,18,4,35.2,21.9,13,,WR
2543498,Brandin Cooks,WR,HOU,13.1,1.89,0.434,11.1,16.1,3.49,3.09,4.97,39,36,35,19,5,19.7,2.06,4.88,,WR
2560957,Mark Andrews,TE,BAL,13,2.14,1.67,9.89,15.3,5.83,3.98,6.95,20,27,16,3,2,3.29,0.78,5.33,,TE
2560888,Courtland Sutton,WR,DEN,12.6,2,0.234,11,15.6,3.06,2.93,4.52,42,38,38,20,5,22.6,1.67,4.93,,WR
2566382,Michael Carter,RB,NYJ,12.5,0.999,0.249,11.3,13.9,2.89,2.79,1.66,44,42,61,14,5,13.5,1.42,3.2,,RB
2566292,Jaylen Waddle,WR,MIA,12.4,2.48,0.188,10.6,16.2,2.82,2.59,5.03,45,45,34,21,5,23,2.4,6.1,,WR
2562281,Damien Harris,RB,NE,12.2,1.22,0.0967,11.2,14.3,2.64,2.69,2.02,46,44,57,15,6,12.2,1.22,3.44,,RB
2564271,Clyde Edwards-Helaire,RB,KC,12.2,,0.137,,,2.54,,,49,,,16,6,,,,IR,RB
2535698,Cole Beasley,WR,BUF,12.2,2.16,0.063,9.67,14.4,2.64,1.64,3.25,47,53,53,22,5,28.6,2.21,5.44,,WR
2543488,Jarvis Landry,WR,CLE,12.1,2.92,0.0966,10.1,16.6,2.57,2.04,5.43,48,51,29,23,5,28.3,3.82,7.48,,WR
2562270,Myles Gaskin,RB,MIA,12,1.6,0.0869,9.68,13.5,2.41,1.13,1.25,51,61,67,17,6,18.5,2.47,4.57,,RB
2540165,DeAndre Hopkins,WR,ARI,12,2.84,0.26,9.17,14.8,2.48,1.13,3.68,50,60,49,24,5,,,10.8,O,WR
2540145,Cordarrelle Patterson,RB,ATL,11.9,1.43,1.06,11,13.6,2.32,2.45,1.35,53,48,65,18,7,13.7,5.28,5.6,,RB
2540145,Cordarrelle Patterson,RB,ATL,11.9,1.43,1.06,11,13.6,2.32,2.45,1.35,53,48,65,18,7,35.2,21.9,13.1,,RB
497322,Emmanuel Sanders,WR,BUF,11.8,1.89,0.387,10.5,14.7,2.22,2.48,3.57,56,46,50,25,6,24.8,2.05,4.88,,WR
2540154,Keenan Allen,WR,LAC,11.4,1.63,0.383,8.99,12.7,1.83,0.957,1.59,58,63,63,26,6,11.8,1.72,4.27,,WR
2560994,Mike Gesicki,TE,MIA,11.4,1.61,1.03,10,14.1,4.16,4.13,5.69,31,26,28,4,3,5.02,0.91,4.58,,TE
2562712,Hunter Renfrow,WR,LVR,11,2.65,0.546,9.06,15.1,1.45,1.02,3.96,62,62,46,27,7,30.1,5.11,7.48,,WR
2552469,Melvin Gordon,RB,DEN,10.9,1.95,0.302,9.03,14,1.26,0.48,1.79,64,71,59,19,7,23,1.21,4.51,,RB
2566538,Elijah Mitchell,RB,SF,10.6,1.87,0.139,8.98,12.9,0.954,0.426,0.663,68,72,72,20,7,18,2.35,4.91,,RB
2564970,Chase Claypool,WR,PIT,10.5,1.78,0.248,8.2,12.8,0.9,0.169,1.63,69,81,62,28,7,22.1,1.1,4.3,,WR
2560935,Darrel Williams,RB,KC,10.4,1.41,0.28,8.55,12.3,0.815,0,0,70,85,85,21,7,21.2,2.85,4.46,,RB
2560995,Dallas Goedert,TE,PHI,10.3,2,0.157,8.79,13.8,3.13,2.89,5.42,41,41,30,5,3,5.47,0.72,5.1,,TE
497123,Colt McCoy,QB,ARI,10.2,6.5,3.54,1.07,14.7,-8.77,-16.5,-5.54,383,354,225,29,10,,,11.7,,QB
2563731,Tee Higgins,WR,CIN,10.2,1.29,0.22,8.38,11.7,0.652,0.348,0.527,72,76,75,29,7,19.6,1.42,3.53,,WR
2565830,Kyle Pitts,TE,ATL,10.2,1.21,1.39,8.37,11.9,2.98,2.47,3.47,43,47,51,6,4,4.11,0.87,3.94,,TE
2565926,Khalil Herbert,RB,CHI,10.1,4.1,0.536,6.44,16.3,0.536,-2.11,4.07,74,132,44,22,8,25,4.91,9.39,,RB
2532884,Marvin Jones,WR,JAC,10,1.26,0.00462,8.39,11.5,0.432,0.36,0.375,76,75,77,30,7,32.6,3.61,4.36,,WR
2560781,Christian Kirk,WR,ARI,10,0.922,0.274,9.26,11.5,0.427,1.23,0.329,77,57,79,31,7,31.3,2.79,3.4,,WR
2566376,Kadarius Toney,WR,NYG,9.72,2.17,0.154,7.42,12.5,0.154,-0.609,1.34,84,96,66,32,7,28.1,3.31,5.9,,WR
2560711,Chase Edmonds,RB,ARI,9.61,0.872,0.079,8.77,11,0,0.213,-1.27,85,78,112,23,8,19.4,1.11,2.88,,RB
2552415,Jamison Crowder,WR,NYJ,9.57,0.968,0.459,8.46,10.6,0,0.422,-0.504,85,73,90,33,8,36.5,3.17,3.64,,WR
2563617,Zack Moss,RB,BUF,9.53,0.781,0.0134,8.83,10.6,-0.079,0.275,-1.7,87,77,124,24,8,17.3,1.9,3.1,,RB
2557978,James Conner,RB,ARI,9.51,1.34,0.054,7.86,11.3,-0.0924,-0.695,-0.987,88,99,103,25,8,26,1.5,3.75,,RB
